bench-name,cpp-time,cpp-memo,mvs-time,mvs-memo,swift-time,swift-memo,scala-time,scala-memo
gen116,44347135.5,0.0,29287680.0,0.0,23258628.5,0.0,22443017.0,0.0
gen117,72553615.5,0.0,35077504.0,0.0,18441067.0,0.0,16180854.0,0.0
gen118,29693101.0,0.0,8657280.0,0.0,6042289.0,0.0,5287025.0,0.0
gen119,122937.0,0.0,337664.0,0.0,330509.0,0.0,917950.0,0.0
gen120,656563.5,0.0,1648640.0,0.0,2035788.0,0.0,4062428.5,0.0
gen121,7978183.5,0.0,921856.0,0.0,580171.5,0.0,2081524.5,0.0
gen122,107674816.0,0.0,11000960.0,0.0,12336931.0,0.0,5022502.0,0.0
gen123,85326768.0,0.0,18086784.0,0.0,11034582.5,0.0,8957894.0,0.0
gen124,60717930.5,0.0,25853952.0,0.0,13253269.5,0.0,12392747.5,0.0
gen125,1758607.0,0.0,843520.0,0.0,690881.5,0.0,2402450.0,0.0
gen126,452355681.5,0.0,56421760.0,0.0,42428659.5,0.0,27965246.5,0.0
gen127,1048358.5,0.0,291584.0,0.0,4653.0,0.0,33293.0,0.0
gen128,19271545.0,0.0,4068992.0,0.0,4648.0,0.0,76857.0,0.0
gen129,1914389.5,0.0,702976.0,0.0,411235.5,0.0,1373484.0,0.0
gen130,13582263.0,0.0,291584.0,0.0,7948.0,0.0,420326.0,0.0
gen131,20661239.5,0.0,1611904.0,0.0,1431858.5,0.0,1439773.0,0.0
gen132,56550444.0,0.0,25385344.0,0.0,4427816.5,0.0,7257474.0,0.0
gen133,79169.0,0.0,204800.0,0.0,273942.0,0.0,941982.0,0.0
gen134,965141.0,0.0,290560.0,0.0,4644.5,0.0,35854.0,0.0
gen135,50826730.5,0.0,745216.0,0.0,1489428.5,0.0,1664401.5,0.0
gen136,132220509.0,0.0,25192192.0,0.0,17798919.0,0.0,12014714.5,0.0
gen137,35557220.5,0.0,6534400.0,0.0,4937522.0,0.0,4273154.0,0.0
gen138,77457.5,0.0,208256.0,0.0,275842.5,0.0,1625382.0,0.0
gen140,619253.5,0.0,371712.0,0.0,288712.0,0.0,1269606.5,0.0
gen141,1656946287.5,0.0,127001472.0,0.0,90401655.0,0.0,31563895.5,0.0
gen142,186776215.5,0.0,25462656.0,0.0,15582744.0,0.0,9365237.0,0.0
gen143,13141779.5,0.0,1943936.0,0.0,2948536.0,0.0,2370539.5,0.0
